chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	97000	2771	4.639986522726296e-08	4.483556889035405e-08	5.1991812310424095e-08
b'1'	97000	194000	3456	4.065212985694613e-08	3.8279783626373654e-08	4.1783718990453434e-08
b'1'	194000	291000	3724	4.0541746740156817e-08	3.816940050958434e-08	4.167333587366412e-08
b'1'	291000	388000	3481	4.081774129374902e-08	3.844539506317655e-08	4.194933042725633e-08
b'1'	388000	485000	2473	4.683230898538359e-08	4.5268012648474676e-08	5.242425606854472e-08
b'1'	485000	582000	3252	3.2000045041994715e-08	3.044837176324011e-08	3.79925279962926e-08
b'1'	582000	679000	3140	4.701762464992781e-08	4.54533283130189e-08	5.260957173308894e-08
b'1'	679000	776000	3479	4.059344938041936e-08	3.822110314984688e-08	4.172503851392666e-08
b'1'	776000	873000	3349	4.0204030502042685e-08	3.783168427147021e-08	4.133561963554999e-08
b'1'	873000	970000	3602	4.1452366397468097e-08	3.908002016689562e-08	4.25839555309754e-08
b'1'	970000	1067000	3478	4.0643177200256154e-08	3.827083096968368e-08	4.177476633376346e-08
b'1'	1067000	1164000	3556	4.0765172178692866e-08	3.839282594812039e-08	4.189676131220017e-08
b'1'	1164000	1261000	3762	4.084803630340475e-08	3.8475690072832274e-08	4.1979625436912054e-08
b'1'	1261000	1358000	3618	4.126671060205722e-08	3.889436437148475e-08	4.239829973556453e-08
b'1'	1358000	1455000	3603	4.149617937589056e-08	3.912383314531809e-08	4.262776850939787e-08
b'1'	1455000	1552000	3703	4.043764268825153e-08	3.806529645767906e-08	4.156923182175884e-08
b'1'	1552000	1649000	1445	4.0092869185585556e-08	3.772052295501308e-08	4.122445831909286e-08
b'1'	1649000	1746000	3695	4.0394210381546486e-08	3.802186415097401e-08	4.152579951505379e-08
b'1'	1746000	1843000	3561	4.09244482486463e-08	3.855210201807382e-08	4.20560373821536e-08
b'1'	1843000	1940000	3080	4.749447094663975e-08	4.593017460973084e-08	5.3086418029800886e-08
b'1'	1940000	2037000	2753	4.654541323751535e-08	4.498111690060644e-08	5.2137360320676484e-08
b'1'	2037000	2134000	3471	4.0932353714546845e-08	3.856000748397437e-08	4.206394284805415e-08
b'1'	2134000	2231000	3305	4.062894530023598e-08	3.825659906966351e-08	4.176053443374329e-08
b'1'	2231000	2328000	3408	4.014555822683428e-08	3.7773211996261804e-08	4.1277147360341584e-08
b'1'	2328000	2425000	3331	4.002165093560773e-08	3.764930470503526e-08	4.115324006911504e-08
b'1'	2425000	2522000	3516	4.008973551524749e-08	3.7717389284675016e-08	4.1221324648754796e-08
b'1'	2522000	2619000	3435	4.049074016568804e-08	3.8118393935115566e-08	4.1622329299195346e-08
b'1'	2619000	2716000	3432	4.083027734936741e-08	3.8457931118794935e-08	4.1961866482874715e-08
b'1'	2716000	2813000	3142	4.6813750895592894e-08	4.524945455868398e-08	5.240569797875403e-08
b'1'	2813000	2910000	3498	4.031369075484874e-08	3.794134452427626e-08	4.144527988835604e-08
b'1'	2910000	3007000	3574	4.119919222006215e-08	3.8826845989489676e-08	4.2330781353569456e-08
b'1'	3007000	3104000	3102	4.69798203065829e-08	4.5415523969673985e-08	5.257176738974403e-08
