chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	97000	2771	1.1972731196486525e-08	1.1226812181043007e-08	1.2483142909381645e-08
b'1'	97000	194000	3456	1.2004821770729936e-08	1.1258902755286418e-08	1.2515233483625056e-08
b'1'	194000	291000	3724	1.6390532547004624e-08	1.5659558332513425e-08	1.6777094351792866e-08
b'1'	291000	388000	3481	2.8000145422919768e-08	2.735815980269977e-08	2.8619386614577007e-08
b'1'	388000	485000	2473	2.0003692763761157e-08	1.935068929024478e-08	2.0861263977802445e-08
b'1'	485000	582000	3252	0	0	1.0844602993387298e-09
b'1'	582000	679000	3140	2.802419946063069e-08	2.738221384041069e-08	2.8643440652287928e-08
b'1'	679000	776000	3479	2.8000628821030244e-08	2.7358643200810246e-08	2.8619870012687484e-08
b'1'	776000	873000	3349	3.600064948728359e-08	3.517399523112501e-08	3.746858978992989e-08
b'1'	873000	970000	3602	5.416712134050576e-11	0	1.1386274206792355e-09
b'1'	970000	1067000	3478	1.1954999384205214e-08	1.1209080368761697e-08	1.2465411097100335e-08
b'1'	1067000	1164000	3556	1.6217387431984295e-10	0	1.2466341736585727e-09
b'1'	1164000	1261000	3762	1.6298038424184995e-08	1.5567064209693796e-08	1.6684600228973237e-08
b'1'	1261000	1358000	3618	0	0	1.0844602993387298e-09
b'1'	1358000	1455000	3603	1.209650013722334e-10	0	1.2054253007109632e-09
b'1'	1455000	1552000	3703	1.6442817532538847e-08	1.5711843318047648e-08	1.682937933732709e-08
b'1'	1552000	1649000	1445	0	0	1.0844602993387298e-09
b'1'	1649000	1746000	3695	1.6138882860192645e-08	1.5407908645701446e-08	1.6525444664980887e-08
b'1'	1746000	1843000	3561	1.991848190785268e-08	1.92654784343363e-08	2.0776053121893968e-08
b'1'	1843000	1940000	3080	2.3982845966915804e-08	2.2983624461378143e-08	2.4988277793599694e-08
b'1'	1940000	2037000	2753	3.2015685172373014e-08	3.1217326593127084e-08	3.2975314437313545e-08
b'1'	2037000	2134000	3471	1.1990026507488973e-08	1.1244107492045455e-08	1.2500438220384093e-08
b'1'	2134000	2231000	3305	1.1945764229934327e-08	1.119984521449081e-08	1.2456175942829447e-08
b'1'	2231000	2328000	3408	8.008469858144534e-09	2.155545712800316e-09	8.64973680879623e-09
b'1'	2328000	2425000	3331	2.39953448314571e-08	2.299612332591944e-08	2.500077665814099e-08
b'1'	2425000	2522000	3516	1.2040146636817403e-10	0	1.2048617657069038e-09
b'1'	2522000	2619000	3435	1.9878807188307746e-08	1.9225803714791367e-08	2.0736378402349034e-08
b'1'	2619000	2716000	3432	1.997954587719497e-08	1.9326542403678593e-08	2.083711709123626e-08
b'1'	2716000	2813000	3142	3.201014748111915e-08	3.121178890187322e-08	3.296977674605968e-08
b'1'	2813000	2910000	3498	1.1987611664227415e-08	1.1241692648783897e-08	1.2498023377122535e-08
b'1'	2910000	3007000	3574	1.9956479335588555e-08	1.9303475862072176e-08	2.0814050549629842e-08
b'1'	3007000	3104000	3102	1.1952307540427258e-08	1.120638852498374e-08	1.2462719253322379e-08
b'1'	3104000	3201000	3210	1.996076043225175e-08	1.9307756958735372e-08	2.081833164629304e-08
b'1'	3201000	3298000	3507	1.1995055462600629e-08	1.1249136447157111e-08	1.2505467175495749e-08
b'1'	3298000	3395000	3405	2.8028203986235655e-08	2.7386218366015656e-08	2.8647445177892895e-08
b'1'	3395000	3492000	3494	1.200218816147915e-08	1.1256269146035632e-08	1.251259987437427e-08
b'1'	3492000	3589000	3480	3.2028301364884986e-08	3.1229942785639057e-08	3.298793062982552e-08
b'1'	3589000	3686000	3644	2.399199909467718e-08	2.299277758913952e-08	2.499743092136107e-08
b'1'	3686000	3783000	3463	1.1976315540222899e-08	1.123039652477938e-08	1.2486727253118019e-08
b'1'	3783000	3880000	3617	0	0	1.0844602993387298e-09
