chrom	start	end	nSites	recombRate
b'1'	0	97000	2771	1.963663323680535e-08
b'1'	97000	194000	3456	1.9962176247031763e-08
b'1'	194000	291000	3724	2.0068962071921032e-08
b'1'	291000	388000	3481	1.9709880762504228e-08
b'1'	388000	485000	2473	1.939605800916605e-08
b'1'	485000	582000	3252	1.8671001556085272e-08
b'1'	582000	679000	3140	1.9389384658740768e-08
b'1'	679000	776000	3479	1.964403898518515e-08
b'1'	776000	873000	3349	1.973429661871913e-08
b'1'	873000	970000	3602	1.945232570383046e-08
b'1'	970000	1067000	3478	1.9810492331774628e-08
b'1'	1067000	1164000	3556	1.9248547804557964e-08
b'1'	1164000	1261000	3762	2.0107248267327025e-08
b'1'	1261000	1358000	3618	1.926894157032895e-08
b'1'	1358000	1455000	3603	1.9443370899849657e-08
b'1'	1455000	1552000	3703	2.020386123751513e-08
b'1'	1552000	1649000	1445	1.9787126200152335e-08
b'1'	1649000	1746000	3695	2.0010192268095947e-08
b'1'	1746000	1843000	3561	1.9490034514206573e-08
b'1'	1843000	1940000	3080	1.932302547022455e-08
b'1'	1940000	2037000	2753	1.938599623381925e-08
b'1'	2037000	2134000	3471	1.9765171740464076e-08
b'1'	2134000	2231000	3305	1.9777260773078556e-08
b'1'	2231000	2328000	3408	1.959332500056416e-08
b'1'	2328000	2425000	3331	1.9818952013437048e-08
b'1'	2425000	2522000	3516	1.9409668354384076e-08
b'1'	2522000	2619000	3435	1.9434041780132277e-08
b'1'	2619000	2716000	3432	1.9457937605455228e-08
b'1'	2716000	2813000	3142	1.9421420477068147e-08
b'1'	2813000	2910000	3498	1.985712908486538e-08
b'1'	2910000	3007000	3574	1.951295289274608e-08
b'1'	3007000	3104000	3102	1.934952973854982e-08
b'1'	3104000	3201000	3210	1.9090217315592132e-08
b'1'	3201000	3298000	3507	1.989752108409537e-08
b'1'	3298000	3395000	3405	1.964184990808091e-08
b'1'	3395000	3492000	3494	1.9827835271029626e-08
b'1'	3492000	3589000	3480	1.9706287657821295e-08
b'1'	3589000	3686000	3644	2.0003197511180013e-08
b'1'	3686000	3783000	3463	1.978549992797327e-08
b'1'	3783000	3880000	3617	1.92109250361252e-08
b'1'	3880000	3977000	2663	2.0085735075903258e-08
b'1'	3977000	4074000	2786	1.9472663468256734e-08
b'1'	4074000	4171000	3679	2.0482461077592148e-08
b'1'	4171000	4268000	3275	1.8959365535527864e-08
b'1'	4268000	4365000	2673	2.0000839785854394e-08
b'1'	4365000	4462000	3032	1.972797916027515e-08
b'1'	4462000	4559000	2950	1.9727400637181134e-08
b'1'	4559000	4656000	2947	1.9494156281890572e-08
b'1'	4656000	4753000	2973	1.9926003565565888e-08
b'1'	4753000	4850000	2801	1.9119002693906395e-08
b'1'	4850000	4947000	2970	1.993276572793968e-08
b'1'	4947000	5044000	3081	1.9389524919777444e-08
b'1'	5044000	5141000	3060	1.9649093836624152e-08
b'1'	5141000	5238000	3126	1.953692370146463e-08
b'1'	5238000	5335000	3144	1.94415131926655e-08
b'1'	5335000	5432000	3085	1.9492474566662414e-08
b'1'	5432000	5529000	2990	1.9834585537412248e-08
b'1'	5529000	5626000	2827	1.9262055981678547e-08
b'1'	5626000	5723000	3042	1.948631197083272e-08
b'1'	5723000	5820000	2944	1.9527609483945577e-08
b'1'	5820000	5917000	2907	1.9244359900316563e-08
b'1'	5917000	6014000	3699	2.0183430710125226e-08
b'1'	6014000	6111000	3600	1.9506132753520015e-08
b'1'	6111000	6208000	3611	1.9283282810397917e-08
b'1'	6208000	6305000	3534	1.9100777176518647e-08
b'1'	6305000	6402000	3449	1.9823510758830062e-08
b'1'	6402000	6499000	3430	1.9402960776143048e-08
b'1'	6499000	6596000	3312	1.9976256183280263e-08
b'1'	6596000	6693000	3314	1.99550088049877e-08
b'1'	6693000	6790000	3616	1.9253285501142145e-08
b'1'	6790000	6887000	3436	1.9528660131873236e-08
b'1'	6887000	6984000	3531	1.9112935137168604e-08
b'1'	6984000	7081000	3597	1.9449487414818253e-08
b'1'	7081000	7178000	3499	1.9905345640077635e-08
b'1'	7178000	7275000	3748	2.010690848002691e-08
b'1'	7275000	7372000	3500	1.9928755533486937e-08
b'1'	7372000	7469000	3716	2.018962676074597e-08
b'1'	7469000	7566000	3489	1.9929898021043175e-08
b'1'	7566000	7663000	3391	1.961333586143527e-08
b'1'	7663000	7760000	3562	1.9612453110177198e-08
b'1'	7760000	7857000	3468	1.9620146380798435e-08
b'1'	7857000	7954000	3373	1.964421669497381e-08
b'1'	7954000	8051000	3212	1.917330415730836e-08
b'1'	8051000	8148000	3544	1.9317697698121714e-08
b'1'	8148000	8245000	3310	1.9861016797849476e-08
b'1'	8245000	8342000	2999	1.9749824580535324e-08
b'1'	8342000	8439000	3092	1.9504828059614873e-08
b'1'	8439000	8536000	2882	1.911384661917791e-08
b'1'	8536000	8633000	2928	1.9291905557325575e-08
b'1'	8633000	8730000	2665	2.009474811441123e-08
b'1'	8730000	8827000	2599	1.975260261656699e-08
b'1'	8827000	8924000	2867	1.920338190407843e-08
b'1'	8924000	9021000	2981	1.9845951920772554e-08
b'1'	9021000	9118000	2885	1.909281588105666e-08
b'1'	9118000	9215000	2927	1.9281317438051805e-08
b'1'	9215000	9312000	2831	1.9509286093042034e-08
b'1'	9312000	9409000	2958	1.984997349586667e-08
b'1'	9409000	9506000	3314	1.9876009245464823e-08
b'1'	9506000	9603000	3292	1.9541948641142446e-08
b'1'	9603000	9700000	3362	1.973204464746663e-08
b'1'	9700000	9797000	2789	1.8954657986906863e-08
b'1'	9797000	9894000	2772	1.9014678029341772e-08
b'1'	9894000	9991000	2961	1.9835914195082996e-08
b'1'	9991000	10088000	3101	1.9324924276555094e-08
b'1'	10088000	10185000	3083	1.938242198234976e-08
b'1'	10185000	10282000	3454	1.9859341760695784e-08
b'1'	10282000	10379000	3000	1.968578145990272e-08
b'1'	10379000	10476000	2756	1.9072318873542818e-08
b'1'	10476000	10573000	2615	1.9932145461512032e-08
b'1'	10573000	10670000	3386	1.9573120690262645e-08
