chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	97000	2771	2.4130506744985866e-08	2.340639366437793e-08	2.4704798292636185e-08
b'1'	97000	194000	3456	2.445604975521228e-08	2.3731936674604343e-08	2.50303413028626e-08
b'1'	194000	291000	3724	2.456283558010155e-08	2.3838722499493612e-08	2.5137127127751868e-08
b'1'	291000	388000	3481	2.4203754270684745e-08	2.3479641190076808e-08	2.4778045818335064e-08
b'1'	388000	485000	2473	1.998665059453823e-08	1.9348666528961428e-08	2.0472077582033658e-08
b'1'	485000	582000	3252	3.484289781164121e-09	2.4118187802683184e-09	4.226362939641419e-09
b'1'	582000	679000	3140	1.9979977244112947e-08	1.9341993178536145e-08	2.0465404231608376e-08
b'1'	679000	776000	3479	2.4137912493365665e-08	2.341379941275773e-08	2.4712204041015984e-08
b'1'	776000	873000	3349	2.4228170126899645e-08	2.350405704629171e-08	2.4802461674549965e-08
b'1'	873000	970000	3602	2.8000701392557454e-08	2.6909753971267996e-08	2.8818651944292178e-08
b'1'	970000	1067000	3478	2.4304365839955144e-08	2.3580252759347207e-08	2.4878657387605463e-08
b'1'	1067000	1164000	3556	8.001886650842315e-09	9.214940896994151e-10	8.443113394872446e-09
b'1'	1164000	1261000	3762	2.460112177550754e-08	2.3877008694899605e-08	2.517541332315786e-08
b'1'	1261000	1358000	3618	0	0	5.698557181688102e-10
b'1'	1358000	1455000	3603	2.799174658857665e-08	2.6900799167287193e-08	2.8809697140311376e-08
b'1'	1455000	1552000	3703	2.4697734745695648e-08	2.397362166508771e-08	2.5272026293345967e-08
b'1'	1552000	1649000	1445	2.428099970833285e-08	2.3556886627724914e-08	2.485529125598317e-08
b'1'	1649000	1746000	3695	2.4504065776276463e-08	2.3779952695668527e-08	2.5078357323926783e-08
b'1'	1746000	1843000	3561	3.6001287009525363e-08	3.5312202842020905e-08	3.6517273463089575e-08
b'1'	1843000	1940000	3080	3.365892173287784e-11	0	6.03514639901688e-10
b'1'	1940000	2037000	2753	3.2016722937442424e-08	3.141845137182078e-08	3.252200151197873e-08
b'1'	2037000	2134000	3471	2.4259045248644593e-08	2.3534932168036656e-08	2.4833336796294912e-08
b'1'	2134000	2231000	3305	2.4271134281259073e-08	2.3547021200651136e-08	2.4845425828909392e-08
b'1'	2231000	2328000	3408	2.4087198508744677e-08	2.336308542813674e-08	2.4661490056394996e-08
b'1'	2328000	2425000	3331	2.4312825521617564e-08	2.3588712441009628e-08	2.4887117069267883e-08
b'1'	2425000	2522000	3516	2.0000260939756255e-08	1.9362276874179453e-08	2.0485687927251684e-08
b'1'	2522000	2619000	3435	2.798241746885927e-08	2.6891470047569814e-08	2.8800368020593996e-08
b'1'	2619000	2716000	3432	2.8006313294182222e-08	2.6915365872892764e-08	2.8824263845916947e-08
b'1'	2716000	2813000	3142	2.0012013062440326e-08	1.9374028996863524e-08	2.0497440049935755e-08
b'1'	2813000	2910000	3498	2.4351002593045898e-08	2.362688951243796e-08	2.4925294140696217e-08
b'1'	2910000	3007000	3574	2.4006826400926597e-08	2.328271332031866e-08	2.4581117948576916e-08
b'1'	3007000	3104000	3102	3.198025644217299e-08	3.138198487655135e-08	3.24855350167093e-08
b'1'	3104000	3201000	3210	3.903505540670981e-09	2.8310345397751784e-09	4.645578699148279e-09
b'1'	3201000	3298000	3507	2.4391394592275887e-08	2.366728151166795e-08	2.4965686139926206e-08
b'1'	3298000	3395000	3405	2.4135723416261428e-08	2.341161033565349e-08	2.4710014963911747e-08
b'1'	3395000	3492000	3494	2.4321708779210143e-08	2.3597595698602206e-08	2.4896000326860462e-08
b'1'	3492000	3589000	3480	2.420016116600181e-08	2.3476048085393875e-08	2.477445271365213e-08
b'1'	3589000	3686000	3644	2.449707101936053e-08	2.3772957938752593e-08	2.507136256701085e-08
b'1'	3686000	3783000	3463	2.4279373436153787e-08	2.355526035554585e-08	2.4853664983804106e-08
b'1'	3783000	3880000	3617	4.024213261204048e-09	2.9517422603082457e-09	4.766286419681346e-09
b'1'	3880000	3977000	2663	2.4579608584083775e-08	2.3855495503475838e-08	2.5153900131734094e-08
b'1'	3977000	4074000	2786	1.6004243703067198e-08	1.5659051694756353e-08	1.6673882003432902e-08
b'1'	4074000	4171000	3679	2.4976334585772664e-08	2.4252221505164728e-08	2.5550626133422984e-08
b'1'	4171000	4268000	3275	3.772653760606713e-09	2.7001827597109107e-09	4.514726919084011e-09
b'1'	4268000	4365000	2673	2.449471329403491e-08	2.3770600213426974e-08	2.506900484168523e-08
b'1'	4365000	4462000	3032	2.4221852668455667e-08	2.349773958784773e-08	2.4796144216105986e-08
b'1'	4462000	4559000	2950	2.422127414536165e-08	2.3497161064753714e-08	2.479556569301197e-08
b'1'	4559000	4656000	2947	3.600540877720936e-08	3.53163246097049e-08	3.6521395230773574e-08
b'1'	4656000	4753000	2973	2.4419877073746404e-08	2.3695763993138467e-08	2.4994168621396723e-08
b'1'	4753000	4850000	2801	3.9322909189852444e-09	2.8598199180894417e-09	4.674364077462542e-09
b'1'	4850000	4947000	2970	2.4426639236120196e-08	2.370252615551226e-08	2.5000930783770516e-08
b'1'	4947000	5044000	3081	1.9980117505149623e-08	1.9342133439572822e-08	2.0465544492645052e-08
b'1'	5044000	5141000	3060	2.414296734480467e-08	2.3418854264196732e-08	2.4717258892454988e-08
b'1'	5141000	5238000	3126	2.4030797209645148e-08	2.330668412903721e-08	2.4605088757295467e-08
b'1'	5238000	5335000	3144	2.7989888881392493e-08	2.6898941460103035e-08	2.8807839433127218e-08
b'1'	5335000	5432000	3085	3.6003727061981204e-08	3.531464289447674e-08	3.6519713515545415e-08
b'1'	5432000	5529000	2990	2.4328459045592765e-08	2.3604345964984828e-08	2.4902750593243084e-08
b'1'	5529000	5626000	2827	8.015394827962898e-09	9.350022668199978e-10	8.456621571993029e-09
