chrom	start	end	nSites	recombRate
b'1'	0	135000	783	3.3142612674817295e-08
b'1'	135000	270000	989	3.644894468429592e-08
b'1'	270000	405000	1124	5.6559834831586856e-08
b'1'	405000	540000	917	4.908825829460199e-08
b'1'	540000	675000	1050	2.5541181171952398e-08
b'1'	675000	810000	1068	1.0261325827962116e-08
b'1'	810000	945000	1193	1.659733137139457e-08
b'1'	945000	1080000	1038	9.633274144627685e-09
b'1'	1080000	1215000	1260	1.2881707910234772e-08
b'1'	1215000	1350000	1323	7.229088770048736e-09
b'1'	1350000	1485000	1075	2.8366592358492184e-09
b'1'	1485000	1620000	791	1.227722222350352e-08
b'1'	1620000	1755000	1035	9.718570953103063e-09
b'1'	1755000	1890000	861	7.670732595304659e-09
b'1'	1890000	2025000	948	4.4210531591653365e-09
b'1'	2025000	2160000	1005	6.83419196255875e-09
b'1'	2160000	2295000	1010	4.063460471852563e-09
b'1'	2295000	2430000	918	6.494294396382666e-09
b'1'	2430000	2565000	1067	1.7029313122178465e-09
b'1'	2565000	2700000	1114	6.8872168298281895e-09
b'1'	2700000	2835000	1141	8.117326104794616e-09
b'1'	2835000	2970000	894	6.0956578274714065e-09
b'1'	2970000	3105000	779	1.2464006807548735e-08
b'1'	3105000	3240000	920	5.018381052529249e-09
b'1'	3240000	3375000	967	1.2613646761242052e-08
b'1'	3375000	3510000	1152	1.5574646863729302e-08
b'1'	3510000	3645000	1244	1.5760515756191217e-08
b'1'	3645000	3780000	1176	9.464910635406825e-09
b'1'	3780000	3915000	1234	6.88707658877489e-09
b'1'	3915000	4050000	724	1.8744887992649144e-08
b'1'	4050000	4185000	1297	1.835152421235942e-08
b'1'	4185000	4320000	906	1.5572075777752176e-08
b'1'	4320000	4455000	752	1.6204153204263623e-08
b'1'	4455000	4590000	822	7.682037124130287e-09
b'1'	4590000	4725000	959	4.872643099907101e-09
b'1'	4725000	4860000	783	1.3553448806408327e-08
b'1'	4860000	4995000	758	1.5089685051951813e-08
b'1'	4995000	5130000	723	1.51231146693036e-08
b'1'	5130000	5265000	880	1.2632098084136724e-08
b'1'	5265000	5400000	818	1.2950747755825902e-08
b'1'	5400000	5535000	754	1.5809528629406508e-08
b'1'	5535000	5670000	819	1.663635138210625e-08
b'1'	5670000	5805000	876	1.460028227348656e-08
b'1'	5805000	5940000	870	1.1426165266829006e-08
b'1'	5940000	6075000	1105	3.913617031140734e-09
b'1'	6075000	6210000	1208	1.7708887459482022e-08
b'1'	6210000	6345000	1258	1.607817549103359e-08
b'1'	6345000	6480000	1218	9.88371166792265e-09
b'1'	6480000	6615000	1185	1.4811746533087609e-08
b'1'	6615000	6750000	1233	3.8496435361149695e-08
b'1'	6750000	6885000	1281	2.3817046663411043e-08
b'1'	6885000	7020000	1250	3.0911044100619764e-08
b'1'	7020000	7155000	1302	2.6248704160401197e-08
b'1'	7155000	7290000	1384	2.4950128378267417e-08
b'1'	7290000	7425000	1378	1.8897648997234483e-08
b'1'	7425000	7560000	1201	1.6662716700126233e-08
b'1'	7560000	7695000	1052	4.656842366952119e-09
b'1'	7695000	7830000	1106	7.84593216841764e-09
b'1'	7830000	7965000	959	3.4014457051988996e-09
b'1'	7965000	8100000	1078	7.303075550049336e-09
b'1'	8100000	8235000	967	7.020693314672791e-09
b'1'	8235000	8370000	912	1.0903181630660366e-08
b'1'	8370000	8505000	571	2.291095059296629e-08
b'1'	8505000	8640000	527	1.616082696826833e-08
b'1'	8640000	8775000	499	2.2319992668229128e-08
b'1'	8775000	8910000	787	1.5173131228488572e-08
b'1'	8910000	9045000	911	1.531966663023732e-08
b'1'	9045000	9180000	624	1.9041317706864347e-08
b'1'	9180000	9315000	684	2.1800055837689e-08
b'1'	9315000	9450000	892	1.3114719795201342e-08
b'1'	9450000	9585000	931	1.2180560390061872e-08
b'1'	9585000	9720000	912	9.387852301356552e-09
b'1'	9720000	9855000	790	1.1193818839409458e-08
b'1'	9855000	9990000	815	1.4003149617667431e-08
b'1'	9990000	10125000	991	6.7858252981184595e-09
b'1'	10125000	10260000	953	8.193204764102444e-09
b'1'	10260000	10395000	752	7.73756983141164e-09
b'1'	10395000	10530000	598	1.3692642176543246e-08
b'1'	10530000	10665000	858	1.2533646114897099e-08
b'1'	10665000	10800000	1020	3.737056294863386e-09
b'1'	10800000	10935000	1121	7.468078773640199e-09
b'1'	10935000	11070000	1040	7.420031088850543e-09
b'1'	11070000	11205000	1306	1.6165504419869495e-08
b'1'	11205000	11340000	1326	9.055310515917164e-09
b'1'	11340000	11475000	1246	8.074602080381127e-09
b'1'	11475000	11610000	1268	1.0877506518608572e-08
b'1'	11610000	11745000	1169	7.440511782281169e-09
b'1'	11745000	11880000	938	1.1592931127972101e-08
b'1'	11880000	12015000	1246	1.0219404752324374e-08
b'1'	12015000	12150000	1397	1.3347178965428444e-08
b'1'	12150000	12285000	1102	1.1491041878014395e-08
b'1'	12285000	12420000	1382	2.734849374913451e-08
b'1'	12420000	12555000	1329	1.7910059125700843e-08
b'1'	12555000	12690000	1223	6.929173653185395e-09
b'1'	12690000	12825000	1650	1.79410798967254e-08
