chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	133000	785	2.6860297917337085e-08	2.0624770933692594e-08	3.591728649867227e-08
b'1'	133000	266000	1365	2.7770004584131193e-08	2.0812512312933287e-08	3.7555319986541974e-08
b'1'	266000	399000	1138	4.964188474904637e-08	3.5509825048801584e-08	6.249376679651737e-08
b'1'	399000	532000	1052	5.685674458978521e-08	4.174967530535948e-08	6.797194757003492e-08
b'1'	532000	665000	1284	6.219781726582596e-08	4.664073959528992e-08	7.105161460555109e-08
b'1'	665000	798000	1247	2.672835170986817e-08	2.049282472622368e-08	3.578534029120335e-08
b'1'	798000	931000	1446	5.00914540724224e-08	3.646016819458705e-08	6.298064067933492e-08
b'1'	931000	1064000	1252	3.305951741938349e-08	2.486130531020512e-08	4.329509398348283e-08
b'1'	1064000	1197000	1237	2.9381104154797703e-08	2.1970278645984258e-08	3.950368763733905e-08
b'1'	1197000	1330000	1456	2.501314065318911e-08	1.8460663381307423e-08	3.329638532113948e-08
b'1'	1330000	1463000	1291	1.9177236205151756e-08	1.4187864178509243e-08	2.558218326676296e-08
b'1'	1463000	1596000	1089	2.4390347669597505e-08	1.8245199901175938e-08	3.208042380103663e-08
b'1'	1596000	1729000	834	1.720619875236709e-08	1.227117169869077e-08	2.302828307812435e-08
b'1'	1729000	1862000	954	1.371543704389377e-08	9.460252039540035e-09	1.8365890799310825e-08
b'1'	1862000	1995000	976	1.3264661051226047e-08	9.009476046872313e-09	1.7915114806643103e-08
b'1'	1995000	2128000	1236	1.9789627192386564e-08	1.5169980971270906e-08	2.6350740000998386e-08
b'1'	2128000	2261000	1158	1.7489873405293634e-08	1.2554846351617312e-08	2.3311957731050893e-08
b'1'	2261000	2394000	1288	1.7263340107024505e-08	1.2328313053348183e-08	2.3085424432781764e-08
b'1'	2394000	2527000	1297	1.8577167709478527e-08	1.3614251231698728e-08	2.529212199098445e-08
b'1'	2527000	2660000	1265	1.892793298449376e-08	1.3938560957851246e-08	2.5332880046104964e-08
b'1'	2660000	2793000	1156	2.1343867104111155e-08	1.602680564632317e-08	2.9667946130178618e-08
b'1'	2793000	2926000	1305	1.7733986332067323e-08	1.2798959278391001e-08	2.3556070657824582e-08
b'1'	2926000	3059000	1199	2.4739935957329846e-08	1.818745868544816e-08	3.302318062528022e-08
b'1'	3059000	3192000	1028	1.913320051441625e-08	1.4143828487773735e-08	2.5538147576027453e-08
b'1'	3192000	3325000	1047	1.7287890540825342e-08	1.235286348714902e-08	2.31099748665826e-08
b'1'	3325000	3458000	1241	2.78042935216625e-08	2.0846801250464596e-08	3.758960892407328e-08
b'1'	3458000	3591000	1338	4.096715531034424e-08	3.064701661117287e-08	5.416593551246142e-08
b'1'	3591000	3724000	1362	2.7066162435065193e-08	2.0433300841762074e-08	3.6811697924778765e-08
b'1'	3724000	3857000	1208	1.8243737730701588e-08	1.3280821252921789e-08	2.495869201220751e-08
b'1'	3857000	3990000	992	1.0607999964914004e-08	6.9917521303992525e-09	1.4449348626295975e-08
b'1'	3990000	4123000	1138	1.5593734415440625e-08	1.1234222641641284e-08	2.0458327854620624e-08
b'1'	4123000	4256000	1274	2.2828093881942197e-08	1.6881441777870337e-08	3.066632385812919e-08
b'1'	4256000	4389000	816	1.955889673205255e-08	1.4569524705410036e-08	2.5963843793663753e-08
b'1'	4389000	4522000	921	1.4669932751023179e-08	1.0738225124886252e-08	1.961610031543564e-08
b'1'	4522000	4655000	958	2.0719527953551256e-08	1.5711298655608722e-08	2.784074281578919e-08
b'1'	4655000	4788000	1023	1.8998659847461325e-08	1.4009287820818812e-08	2.540360690907253e-08
b'1'	4788000	4921000	782	2.120081573009826e-08	1.5883754272310273e-08	2.952489475616572e-08
b'1'	4921000	5054000	814	2.4217701308601912e-08	1.8072553540180345e-08	3.1907777440041036e-08
b'1'	5054000	5187000	837	3.368682046827673e-08	2.4445760018083156e-08	4.514476226363315e-08
b'1'	5187000	5320000	875	1.3354583064635679e-08	9.099398060281944e-09	1.8005036820052737e-08
b'1'	5320000	5453000	892	1.3309546437755065e-08	9.05436143340133e-09	1.796000019317212e-08
b'1'	5453000	5586000	742	1.7054219535116527e-08	1.2679954984539204e-08	2.280712488721313e-08
b'1'	5586000	5719000	917	1.9515618617987306e-08	1.4526246591344792e-08	2.592056567959851e-08
b'1'	5719000	5852000	938	2.246817071830256e-08	1.65215186142307e-08	3.0306400694489555e-08
b'1'	5852000	5985000	1170	3.1323217067334753e-08	2.3529327577985528e-08	4.1519610752270606e-08
b'1'	5985000	6118000	1413	5.411006209972777e-08	4.045684425453908e-08	6.56739637581901e-08
b'1'	6118000	6251000	1431	5.384049702099043e-08	3.9618947927072504e-08	6.51694088740606e-08
b'1'	6251000	6384000	1216	2.3797011146603425e-08	1.7651863378181858e-08	3.1487087278042556e-08
b'1'	6384000	6517000	1214	2.8727671210180666e-08	2.1821616459892064e-08	3.841776855692908e-08
b'1'	6517000	6650000	1125	1.60384371102765e-08	1.1561056244212861e-08	2.140246695280154e-08
b'1'	6650000	6783000	1347	4.1194973724366967e-08	2.984407528097065e-08	5.482518765966758e-08
b'1'	6783000	6916000	1379	2.8846532377411977e-08	2.1940477627123375e-08	3.853662972416039e-08
