chrom	start	end	nSites	recombRate
b'1'	0	97000	2771	3.71356833359113e-08
b'1'	97000	194000	3456	4.057926167993825e-08
b'1'	194000	291000	3724	4.046887856314894e-08
b'1'	291000	388000	3481	4.0744873116741146e-08
b'1'	388000	485000	2473	3.756812709403193e-08
b'1'	485000	582000	3252	3.8958009007907936e-08
b'1'	582000	679000	3140	3.775344275857615e-08
b'1'	679000	776000	3479	4.052058120341148e-08
b'1'	776000	873000	3349	4.013116232503481e-08
b'1'	873000	970000	3602	4.137949822046022e-08
b'1'	970000	1067000	3478	4.0570309023248276e-08
b'1'	1067000	1164000	3556	4.069230400168499e-08
b'1'	1164000	1261000	3762	4.077516812639687e-08
b'1'	1261000	1358000	3618	4.1193842425049346e-08
b'1'	1358000	1455000	3603	4.1423311198882684e-08
b'1'	1455000	1552000	3703	4.0364774511243655e-08
b'1'	1552000	1649000	1445	4.002000100857768e-08
b'1'	1649000	1746000	3695	4.032134220453861e-08
b'1'	1746000	1843000	3561	4.085158007163842e-08
b'1'	1843000	1940000	3080	3.823028905528809e-08
b'1'	1940000	2037000	2753	3.728123134616369e-08
b'1'	2037000	2134000	3471	4.085948553753897e-08
b'1'	2134000	2231000	3305	4.0556077123228104e-08
b'1'	2231000	2328000	3408	4.00726900498264e-08
b'1'	2328000	2425000	3331	3.9948782758599855e-08
b'1'	2425000	2522000	3516	4.001686733823961e-08
b'1'	2522000	2619000	3435	4.041787198868016e-08
b'1'	2619000	2716000	3432	4.075740917235953e-08
b'1'	2716000	2813000	3142	3.754956900424123e-08
b'1'	2813000	2910000	3498	4.024082257784086e-08
b'1'	2910000	3007000	3574	4.112632404305427e-08
b'1'	3007000	3104000	3102	3.7715638415231236e-08
b'1'	3104000	3201000	3210	3.8616813428578764e-08
b'1'	3201000	3298000	3507	4.052641771165652e-08
b'1'	3298000	3395000	3405	3.9981172149834445e-08
b'1'	3395000	3492000	3494	4.040506455844734e-08
b'1'	3492000	3589000	3480	4.0742453034089976e-08
b'1'	3589000	3686000	3644	4.038407470474339e-08
b'1'	3686000	3783000	3463	4.1311760643017746e-08
b'1'	3783000	3880000	3617	4.098678312183004e-08
b'1'	3880000	3977000	2663	4.025839600595094e-08
b'1'	3977000	4074000	2786	3.747510542480246e-08
b'1'	4074000	4171000	3679	4.071566515159257e-08
b'1'	4171000	4268000	3275	4.007213278491155e-08
b'1'	4268000	4365000	2673	3.981091260142058e-08
b'1'	4365000	4462000	3032	3.935371315683913e-08
b'1'	4462000	4559000	2950	3.880525623569695e-08
b'1'	4559000	4656000	2947	3.858263165074691e-08
b'1'	4656000	4753000	2973	3.921371256506804e-08
b'1'	4753000	4850000	2801	3.7606024200340465e-08
b'1'	4850000	4947000	2970	3.9220862871731316e-08
b'1'	4947000	5044000	3081	3.817594198342901e-08
b'1'	5044000	5141000	3060	3.9187286801695314e-08
b'1'	5141000	5238000	3126	3.8388393906934054e-08
b'1'	5238000	5335000	3144	3.74617602700013e-08
b'1'	5335000	5432000	3085	3.7869415359274024e-08
b'1'	5432000	5529000	2990	3.96935671142292e-08
b'1'	5529000	5626000	2827	3.7801625903285225e-08
b'1'	5626000	5723000	3042	3.9152964161585354e-08
b'1'	5723000	5820000	2944	3.7939349013988824e-08
b'1'	5820000	5917000	2907	3.794117592902255e-08
b'1'	5917000	6014000	3699	4.070430340638044e-08
b'1'	6014000	6111000	3600	4.147634069309168e-08
b'1'	6111000	6208000	3611	4.1358497372627245e-08
b'1'	6208000	6305000	3534	4.0100571848161594e-08
b'1'	6305000	6402000	3449	4.106000127259044e-08
b'1'	6402000	6499000	3430	4.174044853181092e-08
b'1'	6499000	6596000	3312	4.0595260199065796e-08
b'1'	6596000	6693000	3314	4.0285492411194054e-08
b'1'	6693000	6790000	3616	4.090869594617862e-08
b'1'	6790000	6887000	3436	4.054230079242932e-08
b'1'	6887000	6984000	3531	4.046003584774919e-08
b'1'	6984000	7081000	3597	4.120677770497788e-08
b'1'	7081000	7178000	3499	4.0705977949657246e-08
b'1'	7178000	7275000	3748	4.06337265951178e-08
b'1'	7275000	7372000	3500	4.049324911152743e-08
b'1'	7372000	7469000	3716	4.064495778504778e-08
b'1'	7469000	7566000	3489	4.061238630355125e-08
b'1'	7566000	7663000	3391	4.030332557560229e-08
b'1'	7663000	7760000	3562	4.0846291895578395e-08
b'1'	7760000	7857000	3468	4.111038736590249e-08
b'1'	7857000	7954000	3373	4.008144446862743e-08
b'1'	7954000	8051000	3212	3.8816821715862525e-08
b'1'	8051000	8148000	3544	4.0736274333579094e-08
b'1'	8148000	8245000	3310	4.0283041407555005e-08
b'1'	8245000	8342000	2999	3.939304499698516e-08
b'1'	8342000	8439000	3092	3.7336532330498785e-08
b'1'	8439000	8536000	2882	3.7092168745021844e-08
b'1'	8536000	8633000	2928	3.748175412432907e-08
b'1'	8633000	8730000	2665	4.009780888611152e-08
b'1'	8730000	8827000	2599	3.892133637271933e-08
