chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	135000	783	3.2744757543255816e-08	2.5254807816153886e-08	4.42567266101577e-08
b'1'	135000	270000	989	3.600461446397602e-08	2.76637215098809e-08	4.677467868221114e-08
b'1'	270000	405000	1124	5.572617527525451e-08	4.270836977502838e-08	6.735189006610725e-08
b'1'	405000	540000	917	4.846681187001156e-08	3.7527011071429854e-08	6.237023179647581e-08
b'1'	540000	675000	1050	2.531708986215172e-08	1.9485626372282428e-08	3.29233612082573e-08
b'1'	675000	810000	1068	9.597150540473319e-09	6.616783831491045e-09	1.2969301720987356e-08
b'1'	810000	945000	1193	1.622015175894668e-08	1.2116334384134656e-08	2.147899352100361e-08
b'1'	945000	1080000	1038	9.057282605909533e-09	5.894860193081596e-09	1.2901607775220522e-08
b'1'	1080000	1215000	1260	1.221106115620315e-08	8.738360362608964e-09	1.5948902925638738e-08
b'1'	1215000	1350000	1323	6.6673224954773905e-09	3.6232502123458633e-09	9.798394608171647e-09
b'1'	1350000	1485000	1075	2.6691450346032055e-09	1.0163083335719272e-10	6.124691283745775e-09
b'1'	1485000	1620000	791	1.1606575469471897e-08	8.133874675877711e-09	1.5344417238907488e-08
b'1'	1620000	1755000	1035	9.14257941438491e-09	5.980157001556974e-09	1.29869045836959e-08
b'1'	1755000	1890000	861	7.1213741070642265e-09	4.1363655112070736e-09	1.0695015978377041e-08
b'1'	1890000	2025000	948	4.077521402675399e-09	1.1800220955225144e-09	7.157093821970972e-09
b'1'	2025000	2160000	1005	6.272425687987404e-09	3.228353404855877e-09	9.403497800681661e-09
b'1'	2160000	2295000	1010	3.719928715362626e-09	8.224294082097414e-10	6.799501134658199e-09
b'1'	2295000	2430000	918	5.979503944621557e-09	2.9667077987256663e-09	9.358318417275868e-09
b'1'	2430000	2565000	1067	1.6765700443365532e-09	5.020877645525988e-11	5.244628248787161e-09
b'1'	2565000	2700000	1114	6.325450555256844e-09	3.2813782721253165e-09	9.4565226679511e-09
b'1'	2700000	2835000	1141	7.567967616554184e-09	4.582959020697031e-09	1.1141609487866999e-08
b'1'	2835000	2970000	894	5.5808673757102975e-09	2.568071229814407e-09	8.959681848364608e-09
b'1'	2970000	3105000	779	1.1793360053517112e-08	8.320659259922927e-09	1.5531201822952704e-08
b'1'	3105000	3240000	920	4.563278033121124e-09	1.7371348025712641e-09	7.590374384481237e-09
b'1'	3240000	3375000	967	1.1943000007210429e-08	8.470299213616243e-09	1.5680841776646017e-08
b'1'	3375000	3510000	1152	1.516233542008247e-08	1.1145532796230627e-08	2.0040012882016596e-08
b'1'	3510000	3645000	1244	1.5348204312544386e-08	1.1331401688692542e-08	2.022588177447851e-08
b'1'	3645000	3780000	1176	8.888919096688672e-09	5.726496683860736e-09	1.2733244265999661e-08
b'1'	3780000	3915000	1234	6.325310314203544e-09	3.281238031072017e-09	9.4563824268978e-09
b'1'	3915000	4050000	724	1.828327705286925e-08	1.3920137114634356e-08	2.3996940417528533e-08
b'1'	4050000	4185000	1297	1.7943016638307276e-08	1.3929442320966437e-08	2.3566543393678976e-08
b'1'	4185000	4320000	906	1.5159764334105346e-08	1.1142961710253501e-08	2.003744179603947e-08
b'1'	4320000	4455000	752	1.5826973591815734e-08	1.172315621700371e-08	2.1085815353872665e-08
b'1'	4455000	4590000	822	7.132678635889855e-09	4.147670040032702e-09	1.070632050720267e-08
b'1'	4590000	4725000	959	4.417540080498976e-09	1.5913968499491163e-09	7.444636431859089e-09
b'1'	4725000	4860000	783	1.2895506490299799e-08	9.244960225022855e-09	1.704481809571678e-08
b'1'	4860000	4995000	758	1.4516060045376083e-08	1.0766432903262729e-08	1.8927570135938922e-08
b'1'	4995000	5130000	723	1.454948966272787e-08	1.0799862520614515e-08	1.896099975329071e-08
b'1'	5130000	5265000	880	1.1961451330105101e-08	8.488750536510916e-09	1.569929309954069e-08
b'1'	5265000	5400000	818	1.228010100179428e-08	8.807400208200094e-09	1.601794277122987e-08
b'1'	5400000	5535000	754	1.5397217185759677e-08	1.1380414561907833e-08	2.0274894647693802e-08
b'1'	5535000	5670000	819	1.6259171769658362e-08	1.2155354394846338e-08	2.1518013531715293e-08
b'1'	5670000	5805000	876	1.4026657266910829e-08	1.0277030124797475e-08	1.843816735747367e-08
b'1'	5805000	5940000	870	1.0784785900467936e-08	7.605527355151847e-09	1.4728040068105569e-08
b'1'	5940000	6075000	1105	3.5700852746507968e-09	6.725859674979123e-10	6.64965769394637e-09
b'1'	6075000	6210000	1208	1.7300379885429878e-08	1.3286805568089039e-08	2.2923906640801578e-08
b'1'	6210000	6345000	1258	1.57009958785857e-08	1.1597178503773676e-08	2.095983764064263e-08
b'1'	6345000	6480000	1218	9.219536380433854e-09	6.23916967145158e-09	1.2591687560947891e-08
b'1'	6480000	6615000	1185	1.4238121526511879e-08	1.0488494384398525e-08	1.864963161707472e-08
b'1'	6615000	6750000	1233	3.7818675732536455e-08	2.9700608713922173e-08	4.9552648814609586e-08
b'1'	6750000	6885000	1281	2.3514286925019155e-08	1.81586639576901e-08	3.041009822477551e-08
b'1'	6885000	7020000	1250	3.0832761092113796e-08	2.4497564502567397e-08	4.0133935411745194e-08
b'1'	7020000	7155000	1302	2.6075491197002325e-08	1.9919075286605706e-08	3.4700800286185344e-08
b'1'	7155000	7290000	1384	2.46208252954182e-08	1.8916553529368824e-08	3.276576601729519e-08
b'1'	7290000	7425000	1378	1.8436038057454588e-08	1.4072898119219694e-08	2.414970142211387e-08
b'1'	7425000	7560000	1201	1.6285537087678345e-08	1.218171971286632e-08	2.1544378849735276e-08
b'1'	7560000	7695000	1052	4.313310610462181e-09	1.4158113033092968e-09	7.392883029757754e-09
b'1'	7695000	7830000	1106	7.296573680177208e-09	4.311565084320055e-09	1.0870215551490023e-08
b'1'	7830000	7965000	959	3.209153036207796e-09	2.1533060180274926e-10	6.453019811401076e-09
b'1'	7965000	8100000	1078	6.74130927547799e-09	3.697236992346463e-09	9.872381388172247e-09
b'1'	8100000	8235000	967	6.458927040101446e-09	3.4148547569699185e-09	9.589999152795702e-09
b'1'	8235000	8370000	912	1.0261802264299296e-08	7.0825437189832075e-09	1.420505643193693e-08
b'1'	8370000	8505000	571	2.2626508712494598e-08	1.7417112731240793e-08	3.021340755499889e-08
b'1'	8505000	8640000	527	1.578364735582044e-08	1.1679829981008416e-08	2.104248911787737e-08
b'1'	8640000	8775000	499	2.1951567367118146e-08	1.696601619521934e-08	2.8784928000014445e-08
b'1'	8775000	8910000	787	1.4599506221912841e-08	1.0849879079799487e-08	1.901101631247568e-08
b'1'	8910000	9045000	911	1.490735518659049e-08	1.0890552562738644e-08	1.9785032648524614e-08
