chrom	start	end	nSites	recombRate
b'1'	0	133000	785	2.8102772004822963e-08
b'1'	133000	266000	1365	2.901968726005595e-08
b'1'	266000	399000	1138	5.3046964185776196e-08
b'1'	399000	532000	1052	5.94558950769235e-08
b'1'	532000	665000	1284	6.42900688049759e-08
b'1'	665000	798000	1247	2.7970825797354048e-08
b'1'	798000	931000	1446	5.386183070122615e-08
b'1'	931000	1064000	1252	3.50555394830713e-08
b'1'	1064000	1197000	1237	3.0616896740801366e-08
b'1'	1197000	1330000	1456	2.625159560094125e-08
b'1'	1330000	1463000	1291	1.9952652193123457e-08
b'1'	1463000	1596000	1089	2.5389179118949615e-08
b'1'	1596000	1729000	834	1.7969716569843894e-08
b'1'	1729000	1862000	954	1.4131888154770229e-08
b'1'	1862000	1995000	976	1.3681112162102506e-08
b'1'	1995000	2128000	1236	2.053003835867334e-08
b'1'	2128000	2261000	1158	1.8253391222770436e-08
b'1'	2261000	2394000	1288	1.8026857924501307e-08
b'1'	2394000	2527000	1297	1.9067498786637845e-08
b'1'	2527000	2660000	1265	1.970334897246546e-08
b'1'	2660000	2793000	1156	2.2201091628541484e-08
b'1'	2793000	2926000	1305	1.8497504149544125e-08
b'1'	2926000	3059000	1199	2.597839090508199e-08
b'1'	3059000	3192000	1028	1.990861650238795e-08
b'1'	3192000	3325000	1047	1.8051408358302145e-08
b'1'	3325000	3458000	1241	2.905397619758726e-08
b'1'	3458000	3591000	1338	4.375601227865718e-08
b'1'	3591000	3724000	1362	2.8471929079383655e-08
b'1'	3724000	3857000	1208	1.8734068807860905e-08
b'1'	3857000	3990000	992	1.1045243067826456e-08
b'1'	3990000	4123000	1138	1.6185424149086933e-08
b'1'	4123000	4256000	1274	2.3628643807603757e-08
b'1'	4256000	4389000	816	2.033431272002425e-08
b'1'	4389000	4522000	921	1.5212569212535572e-08
b'1'	4522000	4655000	958	2.1523538978129795e-08
b'1'	4655000	4788000	1023	1.9774075835433026e-08
b'1'	4788000	4921000	782	2.2058040254528587e-08
b'1'	4921000	5054000	814	2.5216532757954022e-08
b'1'	5054000	5187000	837	3.551486674270947e-08
b'1'	5187000	5320000	875	1.3771034175512138e-08
b'1'	5320000	5453000	892	1.3725997548631524e-08
b'1'	5453000	5586000	742	1.7709088196675956e-08
b'1'	5586000	5719000	917	2.0291034605959006e-08
b'1'	5719000	5852000	938	2.326872064396412e-08
b'1'	5852000	5985000	1170	3.2876794695221195e-08
b'1'	5985000	6118000	1413	5.7707050644755985e-08
b'1'	6118000	6251000	1431	5.762469752348758e-08
b'1'	6251000	6384000	1216	2.4795842595955535e-08
b'1'	6384000	6517000	1214	3.017360852044992e-08
b'1'	6517000	6650000	1125	1.666094581310028e-08
b'1'	6650000	6783000	1347	4.40572919959656e-08
