chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	97000	2771	7.672346136436522e-09	6.90320431953339e-09	9.131905809559136e-09
b'1'	97000	194000	3456	5.602039996994047e-08	5.430117876010111e-08	5.938157983770732e-08
b'1'	194000	291000	3724	7.250513643020436e-08	7.087341154166435e-08	7.479864385862352e-08
b'1'	291000	388000	3481	6.400247179395154e-08	6.23844807194975e-08	6.779298698456745e-08
b'1'	388000	485000	2473	4.8099955629185e-08	4.7409112957227375e-08	5.218317268254835e-08
b'1'	485000	582000	3252	7.639214641492887e-09	6.870072824589755e-09	9.0987743146155e-09
b'1'	582000	679000	3140	3.197336715199207e-08	3.039134357318652e-08	3.570270718877645e-08
b'1'	679000	776000	3479	6.398724801735359e-08	6.236925694289955e-08	6.77777632079695e-08
b'1'	776000	873000	3349	4.001307696135999e-08	3.790044866683391e-08	4.402319284516128e-08
b'1'	873000	970000	3602	3.1976789590000255e-08	3.0394766011194705e-08	3.5706129626784635e-08
b'1'	970000	1067000	3478	5.603350995345051e-08	5.431428874361115e-08	5.939468982121736e-08
b'1'	1067000	1164000	3556	0	0	7.059704820733272e-10
b'1'	1164000	1261000	3762	7.242708672477783e-08	7.079536183623781e-08	7.472059415319701e-08
b'1'	1261000	1358000	3618	0	0	7.059704820733272e-10
b'1'	1358000	1455000	3603	3.202218185787854e-08	3.044015827907299e-08	3.575152189466292e-08
b'1'	1455000	1552000	3703	7.244773024194465e-08	7.081600535340463e-08	7.474123767036382e-08
b'1'	1552000	1649000	1445	5.6063752826885003e-08	5.434453161704564e-08	5.9424932694651855e-08
b'1'	1649000	1746000	3695	7.205898881235029e-08	7.042726392381026e-08	7.435249624076946e-08
b'1'	1746000	1843000	3561	6.392767151931144e-08	6.23096804448574e-08	6.771818670992735e-08
b'1'	1843000	1940000	3080	1.6013158231125162e-08	1.4065781571197546e-08	1.8219534113121952e-08
b'1'	1940000	2037000	2753	4.7988779904406445e-08	4.729793723244882e-08	5.207199695776979e-08
b'1'	2037000	2134000	3471	6.399632143767955e-08	6.237833036322551e-08	6.778683662829546e-08
b'1'	2134000	2231000	3305	7.21038846695357e-08	7.047215978099568e-08	7.439739209795485e-08
b'1'	2231000	2328000	3408	5.600531550957123e-08	5.428609429973187e-08	5.936649537733808e-08
b'1'	2328000	2425000	3331	1.5977448527034023e-08	1.4030071867106407e-08	1.8183824409030813e-08
b'1'	2425000	2522000	3516	0	0	7.059704820733272e-10
b'1'	2522000	2619000	3435	4.81159568968448e-08	4.7425114224887174e-08	5.2199173950208147e-08
b'1'	2619000	2716000	3432	4.8187524038635835e-08	4.7496681366678206e-08	5.227074109199918e-08
b'1'	2716000	2813000	3142	3.198941720609941e-08	3.040739362729386e-08	3.571875724288379e-08
b'1'	2813000	2910000	3498	7.217562024481903e-08	7.054389535627901e-08	7.446912767323819e-08
b'1'	2910000	3007000	3574	2.3946650166669055e-08	2.2094890354514256e-08	2.7665207895073962e-08
b'1'	3007000	3104000	3102	1.5986721645406687e-08	1.4039344985479071e-08	1.8193097527403477e-08
b'1'	3104000	3201000	3210	8.210122636315222e-11	0	7.880717084364795e-10
b'1'	3201000	3298000	3507	7.195094538364366e-08	7.031922049510364e-08	7.424445281206283e-08
b'1'	3298000	3395000	3405	6.39508959297393e-08	6.233290485528526e-08	6.774141112035521e-08
b'1'	3395000	3492000	3494	7.209653586730857e-08	7.046481097876856e-08	7.439004329572773e-08
b'1'	3492000	3589000	3480	6.40109797037659e-08	6.239298862931185e-08	6.78014948943818e-08
b'1'	3589000	3686000	3644	3.9999228481589495e-08	3.788660018706342e-08	4.400934436539079e-08
b'1'	3686000	3783000	3463	5.599561301892524e-08	5.4276391809085876e-08	5.935679288669209e-08
b'1'	3783000	3880000	3617	0	0	7.059704820733272e-10
b'1'	3880000	3977000	2663	7.398931720041951e-08	7.235759231187948e-08	7.628282462883868e-08
b'1'	3977000	4074000	2786	7.499975199900453e-09	6.730833382997321e-09	8.959534873023067e-09
b'1'	4074000	4171000	3679	7.26486665131677e-08	7.101694162462767e-08	7.494217394158687e-08
b'1'	4171000	4268000	3275	4.805294971519771e-08	4.736210704324008e-08	5.2136166768561053e-08
b'1'	4268000	4365000	2673	7.334060127368747e-08	7.170887638514744e-08	7.563410870210664e-08
b'1'	4365000	4462000	3032	7.20216419278427e-08	7.038991703930267e-08	7.431514935626187e-08
b'1'	4462000	4559000	2950	1.59635140697389e-08	1.4016137409811284e-08	1.816988995173569e-08
b'1'	4559000	4656000	2947	3.211432854904271e-08	3.053230497023716e-08	3.584366858582709e-08
b'1'	4656000	4753000	2973	7.244484271555383e-08	7.081311782701381e-08	7.473835014397299e-08
b'1'	4753000	4850000	2801	7.024590950565295e-09	6.255449133662163e-09	8.484150623687908e-09
b'1'	4850000	4947000	2970	7.247424322827067e-08	7.084251833973064e-08	7.476775065668984e-08
b'1'	4947000	5044000	3081	7.209374967157177e-08	7.046202478303174e-08	7.438725709999094e-08
b'1'	5044000	5141000	3060	7.22610253017097e-08	7.062930041316967e-08	7.455453273012887e-08
b'1'	5141000	5238000	3126	7.20044571593719e-08	7.037273227083187e-08	7.429796458779107e-08
b'1'	5238000	5335000	3144	3.205788469063904e-08	3.047586111183349e-08	3.578722472742342e-08
b'1'	5335000	5432000	3085	7.234799783795664e-08	7.071627294941662e-08	7.464150526637581e-08
b'1'	5432000	5529000	2990	7.205993310496339e-08	7.042820821642336e-08	7.435344053338256e-08
b'1'	5529000	5626000	2827	7.246703793165966e-09	6.477561976262834e-09	8.70626346628858e-09
b'1'	5626000	5723000	3042	6.402355432472749e-08	6.240556325027345e-08	6.78140695153434e-08
b'1'	5723000	5820000	2944	3.210015393874175e-08	3.05181303599362e-08	3.582949397552613e-08
b'1'	5820000	5917000	2907	7.720110473543134e-09	6.950968656640002e-09	9.179670146665747e-09
b'1'	5917000	6014000	3699	7.26315194511238e-08	7.099979456258378e-08	7.492502687954298e-08
b'1'	6014000	6111000	3600	3.208019942278188e-08	3.049817584397633e-08	3.580953945956626e-08
b'1'	6111000	6208000	3611	0	0	7.059704820733272e-10
b'1'	6208000	6305000	3534	4.805661952110891e-08	4.736577684915128e-08	5.213983657447225e-08
b'1'	6305000	6402000	3449	7.195707890515559e-08	7.032535401661556e-08	7.425058633357476e-08
b'1'	6402000	6499000	3430	4.812825949900472e-08	4.743741682704709e-08	5.221147655236806e-08
b'1'	6499000	6596000	3312	7.211571229096516e-08	7.048398740242513e-08	7.440921971938433e-08
b'1'	6596000	6693000	3314	7.235234459877327e-08	7.072061971023324e-08	7.464585202719244e-08
b'1'	6693000	6790000	3616	0	0	7.059704820733272e-10
b'1'	6790000	6887000	3436	0	0	7.059704820733272e-10
