chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	154000	795	1.9749182784623947e-09	0	5.8203251158618165e-09
b'1'	154000	308000	959	1.97478391455686e-09	0	5.847771889330282e-09
b'1'	308000	462000	939	5.259810912610348e-09	1.8535519932408283e-09	9.179051933221596e-09
b'1'	462000	616000	1063	2.3746361471603304e-08	1.7283200087740478e-08	3.3758398360043734e-08
b'1'	616000	770000	1202	1.0349736873010126e-08	6.562307214224259e-09	1.5024289040581854e-08
b'1'	770000	924000	1263	1.5235777278980648e-08	1.1064019406496397e-08	2.1291548585615125e-08
b'1'	924000	1078000	1162	6.311472671022793e-09	2.505165312833251e-09	9.908121427621388e-09
b'1'	1078000	1232000	1232	5.2257048384132404e-09	1.8194459190437205e-09	9.144945859024488e-09
b'1'	1232000	1386000	1466	1.1486669876830249e-08	7.75863635050125e-09	1.6792016083626707e-08
b'1'	1386000	1540000	1350	2.737373442620535e-09	0	6.607241157787706e-09
b'1'	1540000	1694000	799	7.084666824194697e-09	3.4182399287735148e-09	1.1188443209572652e-08
b'1'	1694000	1848000	1096	2.62902492713851e-09	0	6.502012901911932e-09
b'1'	1848000	2002000	682	1.6189532371581677e-10	0	4.877718699960357e-09
b'1'	2002000	2156000	1129	4.343456497410614e-09	5.348222005792993e-10	8.493530959272273e-09
b'1'	2156000	2310000	937	0	0	4.7158233762445406e-09
b'1'	2310000	2464000	1206	1.8075667046849361e-09	0	5.652973542084358e-09
b'1'	2464000	2618000	1303	5.289874744682991e-09	1.883615825313471e-09	9.209115765294238e-09
b'1'	2618000	2772000	1044	7.662314223079158e-09	3.995887327657976e-09	1.1766090608457113e-08
b'1'	2772000	2926000	1237	4.19628863600974e-09	3.876543391784251e-10	8.346363097871399e-09
b'1'	2926000	3080000	957	5.069972809232043e-09	1.494433922041511e-09	9.267598611736533e-09
b'1'	3080000	3234000	1017	5.048581923867273e-09	1.4730430366767403e-09	9.246207726371763e-09
b'1'	3234000	3388000	1172	7.770663114443846e-09	3.9583580650217535e-09	1.2038599918413819e-08
b'1'	3388000	3542000	1180	8.053438574734534e-09	4.2411335253124415e-09	1.2321375378704507e-08
b'1'	3542000	3696000	1327	1.2882236947429241e-08	9.026874695759083e-09	1.8275136763033107e-08
b'1'	3696000	3850000	1297	5.743252071398159e-09	2.336993152028639e-09	9.662493092009406e-09
b'1'	3850000	4004000	951	5.692763347738821e-10	0	5.285099711018422e-09
b'1'	4004000	4158000	1271	2.025077828525238e-09	0	5.87048466592466e-09
b'1'	4158000	4312000	997	5.722174666034873e-09	2.315915746665353e-09	9.64141568664612e-09
b'1'	4312000	4466000	1002	4.861140131748763e-09	1.2856012445582308e-09	9.058765934253253e-09
b'1'	4466000	4620000	937	9.818466522556958e-09	6.079855501792064e-09	1.4738796266197608e-08
b'1'	4620000	4774000	944	6.367428851288613e-09	2.561121493099071e-09	9.964077607887208e-09
b'1'	4774000	4928000	617	2.4818748402295335e-08	1.822196434994691e-08	3.4259550053845473e-08
b'1'	4928000	5082000	731	2.7494836257658472e-08	2.0188578747549425e-08	3.900604770836835e-08
b'1'	5082000	5236000	818	1.4706028815841917e-08	1.022453506197017e-08	2.0504222030287662e-08
b'1'	5236000	5390000	805	2.4951109833274996e-08	1.835432578092657e-08	3.439191148482514e-08
b'1'	5390000	5544000	668	2.2910701613369598e-08	1.7052301181934114e-08	3.1369844510635386e-08
b'1'	5544000	5698000	898	1.8882584127866698e-08	1.380967630072505e-08	2.6290082742364552e-08
b'1'	5698000	5852000	912	1.53619254813343e-08	1.1190167608850048e-08	2.1417696787968777e-08
b'1'	5852000	6006000	1215	1.844395310538133e-08	1.2735905470825206e-08	2.6383653558034013e-08
b'1'	6006000	6160000	1419	1.649314542366106e-08	1.1964206466467642e-08	2.3895819808254465e-08
b'1'	6160000	6314000	1489	1.822647635434821e-08	1.2518428719792087e-08	2.6166176807000894e-08
b'1'	6314000	6468000	1393	1.4397394005252944e-08	9.915900251381198e-09	2.019558721969869e-08
b'1'	6468000	6622000	1370	5.984769163773552e-09	2.578510244404032e-09	9.9040101843848e-09
b'1'	6622000	6776000	1324	1.3052277849640526e-08	9.196915597970368e-09	1.8445177665244395e-08
b'1'	6776000	6930000	1477	2.9249163984447885e-08	2.0970498764429475e-08	4.147091186485108e-08
b'1'	6930000	7084000	1504	1.9995481239771938e-08	1.4640781800363687e-08	2.9240456158714654e-08
b'1'	7084000	7238000	1356	1.7214020185331177e-08	1.268508122813776e-08	2.4616694569924583e-08
b'1'	7238000	7392000	1414	7.579429314237147e-09	3.767124264815054e-09	1.184736611820712e-08
b'1'	7392000	7546000	1378	8.019981459137002e-09	4.207676409714909e-09	1.2287918263106975e-08
b'1'	7546000	7700000	1160	7.198861539123141e-09	3.5324346437019587e-09	1.1302637924501095e-08
b'1'	7700000	7854000	1003	4.115157811764678e-09	3.065235149333631e-10	8.265232273626337e-09
b'1'	7854000	8008000	1011	1.2234367088661293e-08	8.33101398125732e-09	1.7820322875474494e-08
b'1'	8008000	8162000	933	2.180992466491692e-08	1.5830198484034427e-08	3.0311395747583884e-08
b'1'	8162000	8316000	871	1.3844788665588897e-08	9.703633957551678e-09	1.9253525102096308e-08
b'1'	8316000	8470000	824	2.7294240679688003e-08	1.9987983169578955e-08	3.8805452130397884e-08
b'1'	8470000	8624000	637	3.3374089154193484e-08	2.4044851949213238e-08	4.6384527303246047e-08
b'1'	8624000	8778000	600	2.781149664965238e-08	2.0210823669761847e-08	3.8823077363578984e-08
b'1'	8778000	8932000	689	2.607849595814327e-08	1.954697259153915e-08	3.6984456004302446e-08
b'1'	8932000	9086000	512	2.0058905943582008e-08	1.4704206504173757e-08	2.9303880862524724e-08
b'1'	9086000	9240000	426	2.0132843226740266e-08	1.4778143787332015e-08	2.937781814568298e-08
b'1'	9240000	9394000	606	1.2211862524343859e-08	8.308509416939886e-09	1.7797818311157057e-08
b'1'	9394000	9548000	775	2.8166584934233957e-08	2.0565911954343424e-08	3.9178165648160555e-08
b'1'	9548000	9702000	1117	5.522171675260194e-09	2.115912755890674e-09	9.441412695871441e-09
b'1'	9702000	9856000	676	2.432459595803441e-08	1.7861434574171583e-08	3.4336632846474845e-08
b'1'	9856000	10010000	656	1.8865768950593836e-08	1.3792861123452189e-08	2.627326756509169e-08
b'1'	10010000	10164000	975	5.569410911624957e-09	2.163151992255437e-09	9.488651932236204e-09
b'1'	10164000	10318000	1018	2.442422419603519e-08	1.7827440143686764e-08	3.3865025847585336e-08
b'1'	10318000	10472000	724	2.77247355595911e-08	2.0124062579700566e-08	3.8736316273517704e-08
b'1'	10472000	10626000	669	1.8444052099066012e-08	1.2736004464509889e-08	2.6383752551718696e-08
