chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'1'	0	97000	2771	7.528056489473947e-09	0	1.0552887452956774e-08
b'1'	97000	194000	3456	1.6055856662111512e-08	1.5322632602865373e-08	2.0288858611072658e-08
b'1'	194000	291000	3724	1.9080059831760773e-08	1.8346835772514634e-08	2.331306178072192e-08
b'1'	291000	388000	3481	1.6146411180074926e-08	1.5413187120828787e-08	2.0379413129036072e-08
b'1'	388000	485000	2473	7.0714694522357195e-09	0	1.0096300415718546e-08
b'1'	485000	582000	3252	4.801666986185448e-08	4.7211748487856466e-08	5.043763497912134e-08
b'1'	582000	679000	3140	7.82533310010554e-09	0	1.0850164063588365e-08
b'1'	679000	776000	3479	3.198437005287467e-08	3.085866163750204e-08	3.43691595742893e-08
b'1'	776000	873000	3349	4.7986062893787734e-08	4.718114151978972e-08	5.040702801105459e-08
b'1'	873000	970000	3602	1.6705008961284982e-08	1.5971784902038843e-08	2.0938010910246128e-08
b'1'	970000	1067000	3478	1.604996844710341e-08	1.5316744387857272e-08	2.0282970396064557e-08
b'1'	1067000	1164000	3556	1.6374611935730407e-08	1.5641387876484268e-08	2.0607613884691553e-08
b'1'	1164000	1261000	3762	1.943348758211081e-08	1.870026352286467e-08	2.3666489531071955e-08
b'1'	1261000	1358000	3618	1.6781817897654223e-08	1.6048593838408084e-08	2.101481984661537e-08
b'1'	1358000	1455000	3603	1.665357052368552e-08	1.5920346464439382e-08	2.0886572472646667e-08
b'1'	1455000	1552000	3703	1.9272227930785065e-08	1.8539003871538926e-08	2.350522987974621e-08
b'1'	1552000	1649000	1445	8.011333492747972e-09	0	1.1036164456230798e-08
b'1'	1649000	1746000	3695	1.9054302133509466e-08	1.8321078074263327e-08	2.328730408247061e-08
b'1'	1746000	1843000	3561	1.662663353331324e-08	1.5893409474067102e-08	2.0859635482274387e-08
b'1'	1843000	1940000	3080	7.370507013126905e-09	0	1.0395337976609731e-08
b'1'	1940000	2037000	2753	8.05951303000846e-09	0	1.1084343993491285e-08
b'1'	2037000	2134000	3471	4.0017824428015004e-08	3.422738536644461e-08	4.3599758022191696e-08
b'1'	2134000	2231000	3305	1.6048095665937663e-08	1.5314871606691524e-08	2.028109761489881e-08
b'1'	2231000	2328000	3408	7.817643050420536e-09	0	1.0842474013903362e-08
b'1'	2328000	2425000	3331	4.791126880334521e-08	4.71063474293472e-08	5.033223392061207e-08
b'1'	2425000	2522000	3516	1.639191935745311e-08	1.5658695298206972e-08	2.0624921306414257e-08
b'1'	2522000	2619000	3435	1.600841974390987e-08	1.527519568466373e-08	2.0241421692871016e-08
b'1'	2619000	2716000	3432	5.600106362781074e-08	5.4870852414303754e-08	5.864075067453453e-08
b'1'	2716000	2813000	3142	7.941535546813296e-09	0	1.0966366510296122e-08
b'1'	2813000	2910000	3498	1.6011956933139723e-08	1.5278732873893584e-08	2.024495888210087e-08
b'1'	2910000	3007000	3574	1.7004723820648126e-08	1.6271499761401987e-08	2.1237725769609272e-08
b'1'	3007000	3104000	3102	7.538579932348071e-09	0	1.0563410895830898e-08
b'1'	3104000	3201000	3210	7.540818611870366e-09	0	1.0565649575353192e-08
b'1'	3201000	3298000	3507	1.612548591687899e-08	1.539226185763285e-08	2.0358487865840135e-08
b'1'	3298000	3395000	3405	7.709541387186744e-09	0	1.073437235066957e-08
b'1'	3395000	3492000	3494	4.0007325034798115e-08	3.421688597322772e-08	4.358925862897481e-08
b'1'	3492000	3589000	3480	4.0003661413084495e-08	3.42132223515141e-08	4.358559500726119e-08
b'1'	3589000	3686000	3644	1.7223808940240027e-08	1.6490584880993888e-08	2.1456810889201173e-08
b'1'	3686000	3783000	3463	6.400838255835958e-08	6.32947734754233e-08	6.653653224795527e-08
b'1'	3783000	3880000	3617	1.6610921376890093e-08	1.5877697317643954e-08	2.084392332585124e-08
b'1'	3880000	3977000	2663	7.199309767348848e-08	7.104118667901514e-08	7.502354050349834e-08
b'1'	3977000	4074000	2786	7.8306109691696e-09	0	1.0855441932652426e-08
b'1'	4074000	4171000	3679	1.8907487908803508e-08	1.817426384955737e-08	2.3140489857764654e-08
b'1'	4171000	4268000	3275	1.6136518010003693e-08	1.5403293950757554e-08	2.036951995896484e-08
b'1'	4268000	4365000	2673	2.3986152678767618e-08	2.3517568573916332e-08	2.726690479318831e-08
