chrom	start	end	nSites	recombRate
b'1'	0	97000	2771	3.6886945804915905e-08
b'1'	97000	194000	3456	3.806086025074852e-08
b'1'	194000	291000	3724	4.108506342039778e-08
b'1'	291000	388000	3481	3.8151414768711935e-08
b'1'	388000	485000	2473	3.643035876767768e-08
b'1'	485000	582000	3252	3.778282628622256e-08
b'1'	582000	679000	3140	3.71842224155475e-08
b'1'	679000	776000	3479	3.797983815799778e-08
b'1'	776000	873000	3349	3.775221931815582e-08
b'1'	873000	970000	3602	3.871001254992199e-08
b'1'	970000	1067000	3478	3.805497203574042e-08
b'1'	1067000	1164000	3556	3.8379615524367416e-08
b'1'	1164000	1261000	3762	4.143849117074782e-08
b'1'	1261000	1358000	3618	3.878682148629123e-08
b'1'	1358000	1455000	3603	3.865857411232253e-08
b'1'	1455000	1552000	3703	4.1277231519422074e-08
b'1'	1552000	1649000	1445	3.737022280818993e-08
b'1'	1649000	1746000	3695	4.1059305722146474e-08
b'1'	1746000	1843000	3561	3.863163712195025e-08
b'1'	1843000	1940000	3080	3.672939632856886e-08
b'1'	1940000	2037000	2753	3.741840234545042e-08
b'1'	2037000	2134000	3471	3.7949453821043746e-08
b'1'	2134000	2231000	3305	3.805309925457467e-08
b'1'	2231000	2328000	3408	3.7176532365862493e-08
b'1'	2328000	2425000	3331	3.7677425227713294e-08
b'1'	2425000	2522000	3516	3.839692294609012e-08
b'1'	2522000	2619000	3435	3.801342333254688e-08
b'1'	2619000	2716000	3432	3.7863306746335663e-08
b'1'	2716000	2813000	3142	3.7300424862255254e-08
b'1'	2813000	2910000	3498	3.801696052177673e-08
b'1'	2910000	3007000	3574	3.9009727409285135e-08
b'1'	3007000	3104000	3102	3.689746924779003e-08
b'1'	3104000	3201000	3210	3.6899707927312323e-08
b'1'	3201000	3298000	3507	3.8130489505516e-08
b'1'	3298000	3395000	3405	3.70684307026287e-08
b'1'	3395000	3492000	3494	3.793895442782686e-08
b'1'	3492000	3589000	3480	3.793529080611324e-08
b'1'	3589000	3686000	3644	3.9228812528877036e-08
b'1'	3686000	3783000	3463	3.7877645839113804e-08
b'1'	3783000	3880000	3617	3.86159249655271e-08
b'1'	3880000	3977000	2663	3.7918666136981185e-08
b'1'	3977000	4074000	2786	3.718950028461156e-08
b'1'	4074000	4171000	3679	4.091249149744052e-08
b'1'	4171000	4268000	3275	3.81415215986407e-08
b'1'	4268000	4365000	2673	3.747311376961665e-08
b'1'	4365000	4462000	3032	3.770867414984502e-08
b'1'	4462000	4559000	2950	3.7385152835403055e-08
b'1'	4559000	4656000	2947	3.697514843818474e-08
b'1'	4656000	4753000	2973	3.751398410069283e-08
b'1'	4753000	4850000	2801	3.8168014185703886e-08
b'1'	4850000	4947000	2970	3.713208791215427e-08
b'1'	4947000	5044000	3081	3.719080772704896e-08
b'1'	5044000	5141000	3060	3.711073387792644e-08
b'1'	5141000	5238000	3126	3.7620322924051104e-08
b'1'	5238000	5335000	3144	3.747489275711918e-08
b'1'	5335000	5432000	3085	3.717148863738996e-08
b'1'	5432000	5529000	2990	3.734003361702605e-08
b'1'	5529000	5626000	2827	3.82930083281814e-08
b'1'	5626000	5723000	3042	3.766273105892436e-08
b'1'	5723000	5820000	2944	3.728796920120535e-08
b'1'	5820000	5917000	2907	3.613330495994206e-08
b'1'	5917000	6014000	3699	4.113372549685242e-08
b'1'	6014000	6111000	3600	3.875275789534637e-08
b'1'	6111000	6208000	3611	3.854670266531674e-08
b'1'	6208000	6305000	3534	3.829390228829758e-08
b'1'	6305000	6402000	3449	3.801623679887715e-08
b'1'	6402000	6499000	3430	3.805559767039513e-08
b'1'	6499000	6596000	3312	3.772537217043164e-08
b'1'	6596000	6693000	3314	3.779800299420564e-08
b'1'	6693000	6790000	3616	3.852597460931015e-08
b'1'	6790000	6887000	3436	3.807374674422952e-08
b'1'	6887000	6984000	3531	3.8551341672414615e-08
b'1'	6984000	7081000	3597	3.892017460249148e-08
b'1'	7081000	7178000	3499	3.81735650183776e-08
b'1'	7178000	7275000	3748	4.0811980850838887e-08
b'1'	7275000	7372000	3500	3.818334481149329e-08
b'1'	7372000	7469000	3716	4.122178606536029e-08
b'1'	7469000	7566000	3489	3.8332228079746374e-08
b'1'	7566000	7663000	3391	3.7068713286101244e-08
b'1'	7663000	7760000	3562	3.86140989094097e-08
b'1'	7760000	7857000	3468	3.820055715117826e-08
b'1'	7857000	7954000	3373	3.7391291338629694e-08
b'1'	7954000	8051000	3212	3.694950360153918e-08
b'1'	8051000	8148000	3544	3.83620612500915e-08
b'1'	8148000	8245000	3310	3.782510335046387e-08
b'1'	8245000	8342000	2999	3.736808771397702e-08
b'1'	8342000	8439000	3092	3.711589922895129e-08
b'1'	8439000	8536000	2882	3.687674462744876e-08
b'1'	8536000	8633000	2928	3.718418634106164e-08
b'1'	8633000	8730000	2665	3.7616920928251574e-08
b'1'	8730000	8827000	2599	3.721225400889062e-08
b'1'	8827000	8924000	2867	3.694370402669632e-08
b'1'	8924000	9021000	2981	3.735227076976163e-08
b'1'	9021000	9118000	2885	3.6861424308655316e-08
b'1'	9118000	9215000	2927	3.7024922295936825e-08
b'1'	9215000	9312000	2831	3.816433063713141e-08
b'1'	9312000	9409000	2958	3.693989026640824e-08
b'1'	9409000	9506000	3314	3.756861564564038e-08
b'1'	9506000	9603000	3292	3.8032307466976405e-08
b'1'	9603000	9700000	3362	3.78242679684414e-08
b'1'	9700000	9797000	2789	3.8076281062752565e-08
b'1'	9797000	9894000	2772	3.7730746409907924e-08
b'1'	9894000	9991000	2961	3.725882290624926e-08
b'1'	9991000	10088000	3101	3.689604258776604e-08
b'1'	10088000	10185000	3083	3.7139523207255824e-08
b'1'	10185000	10282000	3454	3.772117911269226e-08
b'1'	10282000	10379000	3000	3.7410319942785914e-08
b'1'	10379000	10476000	2756	3.806822580184408e-08
b'1'	10476000	10573000	2615	3.727428889725225e-08
b'1'	10573000	10670000	3386	3.6894490869524415e-08
b'1'	10670000	10767000	3470	3.782544451203012e-08
b'1'	10767000	10864000	3150	3.754830261800441e-08
b'1'	10864000	10961000	3194	3.7187071956363626e-08
b'1'	10961000	11058000	3064	3.708884576952467e-08
b'1'	11058000	11155000	3406	3.7055530810052965e-08
b'1'	11155000	11252000	3800	4.142797958091904e-08
b'1'	11252000	11349000	3597	3.9127240175799995e-08
b'1'	11349000	11446000	3440	3.790002198377424e-08
b'1'	11446000	11543000	3323	3.77243351148549e-08
b'1'	11543000	11640000	3633	3.8810193286761304e-08
b'1'	11640000	11737000	3610	3.859606578927985e-08
b'1'	11737000	11834000	3388	3.718212545721964e-08
b'1'	11834000	11931000	3417	3.7297791424787735e-08
b'1'	11931000	12028000	3370	3.737206844759965e-08
b'1'	12028000	12125000	3451	3.806395681590113e-08
b'1'	12125000	12222000	3394	3.718195453286998e-08
b'1'	12222000	12319000	3683	4.077488021764308e-08
b'1'	12319000	12416000	3757	4.1151310434441315e-08
b'1'	12416000	12513000	3611	3.863534145629791e-08
b'1'	12513000	12610000	3572	3.874886958112084e-08
b'1'	12610000	12707000	3618	3.87143566910438e-08
b'1'	12707000	12804000	3787	4.155192034840954e-08
b'1'	12804000	12901000	3618	3.8731114234532095e-08
b'1'	12901000	12998000	3532	3.834874899178577e-08
b'1'	12998000	13095000	3448	3.801818722607912e-08
b'1'	13095000	13192000	3568	3.883453394485152e-08
b'1'	13192000	13289000	3537	3.8181531810904104e-08
b'1'	13289000	13386000	3411	3.7118438357405786e-08
b'1'	13386000	13483000	3383	3.7119620913408814e-08
b'1'	13483000	13580000	3513	3.839611590830653e-08
b'1'	13580000	13677000	3410	3.7264364119060075e-08
b'1'	13677000	13774000	3666	4.033516367139053e-08
b'1'	13774000	13871000	3534	3.828113879163503e-08
b'1'	13871000	13968000	3561	3.864535126720675e-08
b'1'	13968000	14065000	3537	3.823974847261272e-08
b'1'	14065000	14162000	3573	3.887977865090432e-08
b'1'	14162000	14259000	3572	3.8766015784248416e-08
b'1'	14259000	14356000	3533	3.8279027317621196e-08
b'1'	14356000	14453000	3427	3.783113414558274e-08
b'1'	14453000	14550000	3434	3.7956139110406014e-08
b'1'	14550000	14647000	3695	4.10153175247927e-08
b'1'	14647000	14744000	3764	4.138687339141867e-08
b'1'	14744000	14841000	3572	3.878554616732457e-08
b'1'	14841000	14938000	3847	4.183433186590255e-08
b'1'	14938000	15035000	3649	3.968743545549206e-08
b'1'	15035000	15132000	3611	3.853238375707235e-08
b'1'	15132000	15229000	3637	3.907919076436349e-08
b'1'	15229000	15326000	3666	4.0270273229798464e-08
b'1'	15326000	15423000	3518	3.799455637644395e-08
b'1'	15423000	15520000	3632	3.87366332873016e-08
b'1'	15520000	15617000	3637	3.899793513226264e-08
b'1'	15617000	15714000	3723	4.1060369747695974e-08
b'1'	15714000	15811000	3570	3.865821508529663e-08
b'1'	15811000	15908000	3276	3.830273821825831e-08
b'1'	15908000	16005000	3557	3.822489351468683e-08
b'1'	16005000	16102000	3644	3.925575613290506e-08
b'1'	16102000	16199000	3353	3.776271613462372e-08
b'1'	16199000	16296000	3236	3.764700687767259e-08
b'1'	16296000	16393000	3362	3.7791264280247655e-08
b'1'	16393000	16490000	3317	3.773277139104733e-08
b'1'	16490000	16587000	3427	3.7751813050731764e-08
b'1'	16587000	16684000	3289	3.821601901938287e-08
b'1'	16684000	16781000	3291	3.820116869960516e-08
b'1'	16781000	16878000	3039	3.7830750209983275e-08
b'1'	16878000	16975000	2770	3.796810020743315e-08
b'1'	16975000	17072000	2773	3.7740891586030354e-08
b'1'	17072000	17169000	2710	3.767327528757367e-08
b'1'	17169000	17266000	2725	3.79328200473986e-08
b'1'	17266000	17363000	2806	3.798160993060313e-08
b'1'	17363000	17460000	2728	3.779132303012462e-08
b'1'	17460000	17557000	2647	3.797426052713457e-08
b'1'	17557000	17654000	2940	3.709722827755485e-08
b'1'	17654000	17751000	2964	3.731856105234469e-08
b'1'	17751000	17848000	2860	3.723543598885178e-08
b'1'	17848000	17945000	2903	3.622422812479428e-08
b'1'	17945000	18042000	2818	3.8125411248607e-08
b'1'	18042000	18139000	3033	3.7797215024364575e-08
b'1'	18139000	18236000	3064	3.697131303320514e-08
b'1'	18236000	18333000	3060	3.719722589343262e-08
b'1'	18333000	18430000	2932	3.708349661040522e-08
b'1'	18430000	18527000	3089	3.719177280543725e-08
b'1'	18527000	18624000	3357	3.751320832746365e-08
b'1'	18624000	18721000	3470	3.7712595446457615e-08
b'1'	18721000	18818000	3132	3.774492368284951e-08
b'1'	18818000	18915000	2908	3.642891200901157e-08
b'1'	18915000	19012000	3112	3.729144867125784e-08
b'1'	19012000	19109000	3160	3.737465052187064e-08
b'1'	19109000	19206000	2907	3.645235183565497e-08
b'1'	19206000	19303000	2979	3.744464842352692e-08
b'1'	19303000	19400000	3254	3.7604084767267515e-08
b'1'	19400000	19497000	3290	3.814612195450373e-08
b'1'	19497000	19594000	3394	3.703349513982571e-08
b'1'	19594000	19691000	3163	3.720721990028099e-08
b'1'	19691000	19788000	3331	3.779618415298541e-08
b'1'	19788000	19885000	3467	3.805264454426961e-08
b'1'	19885000	19982000	3556	3.8431119583174485e-08
b'1'	19982000	20079000	3331	3.8066959072040724e-08
b'1'	20079000	20176000	3712	4.110347480727932e-08
b'1'	20176000	20273000	3652	3.974499882544015e-08
b'1'	20273000	20370000	3359	3.773957692869579e-08
b'1'	20370000	20467000	3401	3.713953866774976e-08
b'1'	20467000	20564000	3333	3.7852804261019984e-08
b'1'	20564000	20661000	3640	3.9180834235712645e-08
b'1'	20661000	20758000	3451	3.797123112923896e-08
b'1'	20758000	20855000	3383	3.705983827544749e-08
b'1'	20855000	20952000	3414	3.7229081382276535e-08
b'1'	20952000	21049000	3215	3.6771681466623675e-08
b'1'	21049000	21146000	3303	3.787753967705543e-08
b'1'	21146000	21243000	3200	3.710250150847073e-08
b'1'	21243000	21340000	3576	3.865411487641251e-08
b'1'	21340000	21437000	3540	3.815172466572377e-08
b'1'	21437000	21534000	3707	4.1250904703210564e-08
b'1'	21534000	21631000	3745	4.074209993358675e-08
b'1'	21631000	21728000	3539	3.812866327761533e-08
b'1'	21728000	21825000	3704	4.121178020546657e-08
b'1'	21825000	21922000	3727	4.110276362455815e-08
b'1'	21922000	22019000	3678	4.0986073656941536e-08
b'1'	22019000	22116000	3570	3.8701798131817577e-08
b'1'	22116000	22213000	3542	3.822574727751877e-08
b'1'	22213000	22310000	3419	3.732070696890335e-08
b'1'	22310000	22407000	3591	3.897003813110841e-08
b'1'	22407000	22504000	3583	3.8824935125406544e-08
b'1'	22504000	22601000	3224	3.7251874444923505e-08
b'1'	22601000	22698000	3534	3.825833610912516e-08
b'1'	22698000	22795000	3342	3.782999590966234e-08
b'1'	22795000	22892000	3305	3.817199474754325e-08
b'1'	22892000	22989000	3715	4.1109650072124885e-08
b'1'	22989000	23086000	3756	4.123010432644899e-08
b'1'	23086000	23183000	3606	3.8440887866811346e-08
b'1'	23183000	23280000	3592	3.877767076349558e-08
b'1'	23280000	23377000	3564	3.88703499827843e-08
b'1'	23377000	23474000	3497	3.7983307492837576e-08
b'1'	23474000	23571000	3479	3.774635412210535e-08
b'1'	23571000	23668000	3597	3.9009695500543475e-08
b'1'	23668000	23765000	3712	4.107897439075174e-08
b'1'	23765000	23862000	3760	4.1373374662377716e-08
b'1'	23862000	23959000	3724	4.099087018929431e-08
b'1'	23959000	24056000	3719	4.124620213630427e-08
b'1'	24056000	24153000	3661	4.0177509579034505e-08
b'1'	24153000	24250000	3386	3.7138746403327044e-08
b'1'	24250000	24347000	3609	3.8693205361069833e-08
b'1'	24347000	24444000	836	3.841415753170804e-08
b'1'	24541000	24638000	1347	3.465311246034033e-08
b'1'	24638000	24735000	3786	4.1489193173486006e-08
b'1'	24735000	24832000	3540	3.831143826765567e-08
b'1'	24832000	24929000	1263	3.8069716537026285e-08
b'1'	24929000	25026000	1174	3.399566766756806e-08
b'1'	25026000	25123000	3869	4.202565788335699e-08
b'1'	25123000	25220000	3666	4.0402799553139534e-08
b'1'	25220000	25317000	3036	3.781861217619217e-08
b'1'	25317000	25414000	2634	3.7505465024966194e-08
b'1'	25414000	25511000	2705	3.765679783670057e-08
b'1'	25511000	25608000	2878	3.658766173503803e-08
b'1'	25608000	25705000	2963	3.7031960084560885e-08
b'1'	25705000	25802000	3250	3.76550721020105e-08
b'1'	25802000	25899000	2868	3.6758693277449225e-08
b'1'	25899000	25996000	3284	3.8230706488624434e-08
b'1'	25996000	26093000	3111	3.726224568782397e-08
b'1'	26093000	26190000	3428	3.776344690063721e-08
b'1'	26190000	26287000	3393	3.698441185080288e-08
b'1'	26287000	26384000	3107	3.708131204261171e-08
b'1'	26384000	26481000	3439	3.794607535955166e-08
b'1'	26481000	26578000	3459	3.7815819323853814e-08
b'1'	26578000	26675000	3431	3.7740831805453797e-08
b'1'	26675000	26772000	3729	4.084122093945821e-08
b'1'	26772000	26869000	3764	4.1265186420377865e-08
b'1'	26869000	26966000	3634	3.896380849685916e-08
b'1'	26966000	27063000	3728	4.1008075142298855e-08
b'1'	27063000	27160000	3507	3.8237730878153746e-08
b'1'	27160000	27257000	3444	3.78071865276051e-08
b'1'	27257000	27354000	3575	3.871773609734386e-08
b'1'	27354000	27451000	3354	3.7581687665048635e-08
b'1'	27451000	27548000	3320	3.767171790048427e-08
b'1'	27548000	27645000	3258	3.759576616261228e-08
b'1'	27645000	27742000	3327	3.792631702008154e-08
b'1'	27742000	27839000	3364	3.731531366148455e-08
b'1'	27839000	27936000	3251	3.7738533688921474e-08
b'1'	27936000	28033000	3518	3.811795637021314e-08
b'1'	28033000	28130000	2001	3.7121544370638027e-08
b'1'	28130000	28227000	2880	3.584547660072281e-08
b'1'	28227000	28324000	3407	3.7248338458176505e-08
b'1'	28324000	28421000	3569	3.859938850710213e-08
b'1'	28421000	28518000	3753	4.1232351251568055e-08
b'1'	28518000	28615000	3711	4.100552940018862e-08
b'1'	28615000	28712000	3491	3.815291357770764e-08
b'1'	28712000	28809000	3730	4.0909378097527844e-08
