chrom	start	end	nSites	recombRate
b'1'	0	97000	2771	2.0295912524547963e-08
b'1'	97000	194000	3456	2.0305487466118964e-08
b'1'	194000	291000	3724	2.166918273892851e-08
b'1'	291000	388000	3481	2.0232918827887253e-08
b'1'	388000	485000	2473	1.9790956623417226e-08
b'1'	485000	582000	3252	1.9360466062503738e-08
b'1'	582000	679000	3140	2.0005227216359236e-08
b'1'	679000	776000	3479	2.0247305375792623e-08
b'1'	776000	873000	3349	2.0081462138945195e-08
b'1'	873000	970000	3602	2.0486984861064364e-08
b'1'	970000	1067000	3478	2.0419415029981127e-08
b'1'	1067000	1164000	3556	2.009691095162159e-08
b'1'	1164000	1261000	3762	2.16958581033867e-08
b'1'	1261000	1358000	3618	2.0306983956040578e-08
b'1'	1358000	1455000	3603	2.0501290627888907e-08
b'1'	1455000	1552000	3703	2.1829932365737546e-08
b'1'	1552000	1649000	1445	1.9675914572671183e-08
b'1'	1649000	1746000	3695	2.140236089639e-08
b'1'	1746000	1843000	3561	2.0337081071373886e-08
b'1'	1843000	1940000	3080	2.0349804714318724e-08
b'1'	1940000	2037000	2753	2.0062433448897343e-08
b'1'	2037000	2134000	3471	2.033131705566709e-08
b'1'	2134000	2231000	3305	2.026223432936034e-08
b'1'	2231000	2328000	3408	2.007518423359821e-08
b'1'	2328000	2425000	3331	2.0270880524703802e-08
b'1'	2425000	2522000	3516	1.993684570934423e-08
b'1'	2522000	2619000	3435	1.9921703358014346e-08
b'1'	2619000	2716000	3432	2.0031621028044482e-08
b'1'	2716000	2813000	3142	1.999099428563947e-08
b'1'	2813000	2910000	3498	2.0528729955476743e-08
b'1'	2910000	3007000	3574	2.0535857801477997e-08
b'1'	3007000	3104000	3102	2.014566664995619e-08
b'1'	3104000	3201000	3210	1.96848238540865e-08
b'1'	3201000	3298000	3507	2.061315550418478e-08
b'1'	3298000	3395000	3405	2.0082282747606795e-08
b'1'	3395000	3492000	3494	2.0502438956076188e-08
b'1'	3492000	3589000	3480	2.034778742048047e-08
